what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro.universal,3.2.200.v20080508,org.eclipse.ui.intro.universal,1240540203719
started,bundle,org.eclipse.ui.net,1.0.0.I20080605,org.eclipse.ui.net,1240540203719
started,bundle,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views,1240540203720
started,bundle,org.eclipse.ui.workbench,3.4.2.M20090127-1700,org.eclipse.ui.workbench,1240540203720
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1240540203721
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1240540203722
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1240540203722
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1240540203723
started,bundle,org.eclipse.epp.usagedata.gathering,1.0.1.R200809220400,org.eclipse.epp.usagedata.gathering,1240540203725
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1240540203725
started,bundle,org.eclipse.jdt.core,3.4.4.v_894_R34x,org.eclipse.jdt.core,1240540203726
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1240540203727
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1240540203729
started,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1240540203739
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1240540203740
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1240540203741
started,bundle,org.eclipse.mylyn.bugzilla.core,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.bugzilla.core,1240540203742
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.bugzilla.ui,1240540203742
started,bundle,org.eclipse.mylyn.commons.net,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.commons.net,1240540203742
started,bundle,org.eclipse.mylyn.commons.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.commons.ui,1240540203743
started,bundle,org.eclipse.mylyn.context.core,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.context.core,1240540203746
started,bundle,org.eclipse.mylyn.context.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.context.ui,1240540203747
started,bundle,org.eclipse.mylyn.monitor.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.monitor.ui,1240540203748
started,bundle,org.eclipse.mylyn.tasks.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.tasks.ui,1240540203749
started,bundle,org.eclipse.mylyn.team.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.team.ui,1240540203749
